,latin_song,latin_artist
0,Igual Que Un Ángel,Kali Uchis & Peso Pluma
1,La Diabla,Xavi
2,La Víctima,Xavi
3,Gasolina (Dj Buddha Remix),"Daddy Yankee, Lil Jon, Noriega & Pitbull"
4,Sugar Daddy (feat. Flo Rida & Jowell & Randy),"Oya Baby, El Alfa & Alex Sensation"
5,MONACO,Bad Bunny
6,Necesito Encontrarte (En Vivo),Carin Leon
7,BELLAKEO,Peso Pluma & Anitta
8,La Primera Cita,Carin Leon
9,HARLEY QUINN,Fuerza Regida & Marshmello
10,La Suma,Javier Rosas y Su Artillería Pesada & Lupe Borbon y su Blindaje 7
11,First Love,Oscar Ortiz & Edgardo Nuñez
12,QLONA,KAROL G & Peso Pluma
13,Según Quién,Maluma & Carin Leon
14,Bailando Bachata,Chayanne
15,Te Lo Agradezco,Kany García & Carin Leon
16,MI EX TENÍA RAZÓN,KAROL G
17,La Intención,Christian Nodal & Peso Pluma
18,"Whenever, Wherever",Shakira
19,Livin' la Vida Loca,Ricky Martin
20,Pepas,Farruko
21,Tití Me Preguntó,Bad Bunny
22,Danza Kuduro (feat. Lucenzo),Don Omar
23,POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar),Becky G
24,Vivir Mi Vida,Marc Anthony
25,Conga,Gloria Estefan & Gloria Estefan & Miami Sound Machine
26,un x100to,Grupo Frontera & Bad Bunny
27,Que Vuelvas,Carin Leon & Grupo Frontera
28,AMARGURA,KAROL G
29,Punta Cana,Marc Anthony
30,BONITA,Daddy Yankee
31,Overnight,Connor Price & Tommy Royale
32,Labios Mordidos,Kali Uchis & KAROL G
33,Eres Mía,Romeo Santos
34,Ella Baila Sola,Eslabon Armado & Peso Pluma
35,La Bebe (Remix),Yng Lvcas & Peso Pluma
36,Confieso,Kany García
37,TULUM,Peso Pluma & Grupo Frontera
38,"Give Me Everything (feat. Afrojack, Nayer and Neyo)",Pitbull
39,Qué Agonía,Yuridia & Ángela Aguilar
40,PERRO NEGRO,Bad Bunny & Feid
41,Lo Tienes Todo,Julión Álvarez y su Norteño Banda
42,Lollipop,Darell
43,La Cumbia Triste,Los Ángeles Azules & Alejandro Fernández
44,Alucin,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel"
45,Historia,Jay Wheeler
46,BAD BOY (feat. Anuel AA & Ozuna),"Chris Jedi, Gaby Music & Dei V"
47,BLING BLING,"Maluma, Octavio Cuadras & Grupo Marca Registrada"
48,Sin Pagar Renta,Xavi
49,Suavemente,Elvis Crespo
50,Macarena (Bayside Boys Remix),Los del Río
51,Despacito,Luis Fonsi & Daddy Yankee
52,Ocean,KAROL G
53,MAMIII,Becky G & KAROL G
54,TQG,KAROL G & Shakira
55,Yo Te Extrañaré,Tercer Cielo
56,Dreaming Of You,Selena
57,La Bachata,Manuel Turizo
58,Gasolina,Daddy Yankee
59,LALA,Myke Towers
60,Bidi Bidi Bom Bom,Selena
61,LADY GAGA,"Peso Pluma, Gabito Ballesteros & Junior H"
62,EL AMOR DE SU VIDA,Grupo Frontera & Grupo Firme
63,RUBICON,Peso Pluma
64,ASI ES LA VIDA,Enrique Iglesias & Maria Becerra
65,DILUVIO,Rauw Alejandro
66,Poco A Poco,Xavi & Los Dareyes De La Sierra
67,Modo DND,Xavi & Tony Aguirre
68,Tacata (Remix),"Tiagz, Fuerza Regida & El Alfa"
69,Somos Latinos,"Play-N-Skillz, Gente de Zona & Dale Pututi"
70,ALV,Arcángel & Grupo Frontera
71,LA FALDA,Myke Towers
72,"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko
73,BUBALU,Feid & Rema
74,Porte de Scarface,Chuy Montana
75,Qué Bendición,Chuy Montana
76,Patadas de Ahogado,LATIN MAFIA & Humbe
77,GAVILÁN II,Peso Pluma & Tito Double P
78,Bochinchero,Motiff & Tito Nieves
79,Madrid City,Ana Mena
80,TÚ NAME,Fuerza Regida
81,Promise (feat. Usher),Romeo Santos
82,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias
83,Toma,Lil Jon & Pitbull
84,Calma (Remix),Pedro Capó & Farruko
85,Tusa,KAROL G & Nicki Minaj
86,Mi Tierra,Gloria Estefan
87,DÁKITI,Bad Bunny & Jhayco
88,telepatía,Kali Uchis
89,La Chona,Los Tucanes de Tijuana
90,Bebe Dame,Fuerza Regida & Grupo Frontera
91,No Crezcas Más,Tercer Cielo
92,I Could Fall In Love,Selena
93,Dale Don Dale,Don Omar
94,El Tóxico,Grupo Firme & Carin Leon
95,Bailamos,Enrique Iglesias
96,I Like It (feat. Pitbull),Enrique Iglesias
97,Como La Flor,Selena
98,Dile,Don Omar
99,Bandoleros (feat. Tego Calderón),Don Omar
