,song,artist
0,Lovin On Me,Jack Harlow
1,Lose Control,Teddy Swims
2,Beautiful Things,Benson Boone
3,Cruel Summer,Taylor Swift
4,Snooze,SZA
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
6,Greedy,Tate McRae
7,Fast Car,Luke Combs
8,Agora Hills,Doja Cat
9,Flowers,Miley Cyrus
10,Stick Season,Noah Kahan
11,Water,Tyla
12,Hiss,Megan Thee Stallion
13,Redrum,21 Savage
14,Last Night,Morgan Wallen
15,Thinkin' Bout Me,Morgan Wallen
16,Paint The Town Red,Doja Cat
17,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
18,Never Lose Me,Flo Milli
19,What Was I Made For?,Billie Eilish
20,"Yes, And?",Ariana Grande
21,Houdini,Dua Lipa
22,Selfish,Justin Timberlake
23,Pretty Little Poison,Warren Zeiders
24,La Diabla,Xavi
25,Where The Wild Things Are,Luke Combs
26,Everybody,Nicki Minaj Featuring Lil Uzi Vert
27,Made For Me,Muni Long
28,Vampire,Olivia Rodrigo
29,The Painter,Cody Johnson
30,White Horse,Chris Stapleton
31,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
32,On My Mama,Victoria Monet
33,Exes,Tate McRae
34,Wild Ones,Jessie Murph & Jelly Roll
35,Feather,Sabrina Carpenter
36,Dance The Night,Dua Lipa
37,Bandit,Don Toliver
38,Need A Favor,Jelly Roll
39,Save Me,Jelly Roll With Lainey Wilson
40,Fukumean,Gunna
41,Fast Car,Tracy Chapman
42,Lil Boo Thang,Paul Russell
43,World On Fire,Nate Smith
44,Good Good,"Usher, Summer Walker & 21 Savage"
45,Truck Bed,HARDY
46,First Person Shooter,Drake Featuring J. Cole
47,Surround Sound,JID Featuring 21 Savage & Baby Tate
48,Strangers,Kenya Grace
49,My Love Mine All Mine,Mitski
50,Spin You Around (1/24),Morgan Wallen
51,Think U The Shit (Fart),Ice Spice
52,Igual Que Un Angel,Kali Uchis & Peso Pluma
53,FTCU,Nicki Minaj
54,Burn It Down,Parker McCollum
55,La Victima,Xavi
56,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
57,Nee-nah,"21 Savage, Travis Scott & Metro Boomin"
58,Murder On The Dancefloor,Sophie Ellis-Bextor
59,Praise Jah In The Moonlight,YG Marley
60,Act II: Date @ 8,4Batz
61,Turn The Lights Back On,Billy Joel
62,Man Made A Bar,Morgan Wallen Featuring Eric Church
63,One Call,Rich Amiri
64,You Broke My Heart,Drake
65,Different 'Round Here,Riley Green Featuring Luke Combs
66,Harley Quinn,Fuerza Regida & Marshmello
67,Get In With Me,BossMan Dlow
68,FE!N,Travis Scott Featuring Playboi Carti
69,Bellakeo,Peso Pluma & Anitta
70,500lbs,Lil Tecca
71,IDGAF,Drake Featuring Yeat
72,I Can Feel It,Kane Brown
73,23,Chayce Beckham
74,Prove It,21 Savage & Summer Walker
75,Soak City,310babii
76,Monaco,Bad Bunny
77,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
78,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
79,Home,Good Neighbours
80,Standing Next To You,Jung Kook
81,Perro Negro,Bad Bunny & Feid
82,Mmhmm,BigXthaPlug
83,Oklahoma Smokeshow,Zach Bryan
84,My Eyes,Travis Scott
85,Coal,Dylan Gossett
86,A Cold Sunday,Lil Yachty
87,All Of Me,21 Savage
88,N.H.I.E.,21 Savage & Doja Cat
89,Should've Wore A Bonnet,21 Savage & Brent Faiyaz
90,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
91,Wondering Why,The Red Clay Strays
92,Y Lloro,Junior H
93,Sensational,Chris Brown Featuring Davido & Lojay
94,Wildflowers And Wild Horses,Lainey Wilson
95,Worth It,Offset & Don Toliver
96,Northern Attitude,Noah Kahan With Hozier
97,Scared To Start,Michael Marcagi
98,First Love,Oscar Ortiz X Edgardo Nunez
99,Where It Ends,Bailey Zimmerman
